CustomerKey,GeographyKey,CustomerAlternateKey,Customer full name,Birth date,Gender,YearlyIncome
11102,18,AW00011102,JuliaLNelson,1970-10-19,F,80000
11103,3,AW00011103,CassieChande,1981-04-12,F,70000
11104,23,AW00011104,EdgarASara,1975-03-08,M,70000
11105,8,AW00011105,CandaceFernandez,1970-06-27,F,70000
11106,40,AW00011106,JessieLiu,1970-03-11,M,70000
11107,17,AW00011107,BiancaLin,1976-03-04,F,90000
11108,13,AW00011108,KariCAlvarez,1969-01-10,F,70000
11109,38,AW00011109,RubenDKapoor,1980-04-30,M,70000
11110,3,AW00011110,CurtisYang,1967-12-04,M,60000
11111,34,AW00011111,MeredithTGutierrez,1967-08-23,F,60000
11112,25,AW00011112,CrystalCWang,1968-03-08,F,60000
11113,30,AW00011113,MichealABlanco,1973-02-17,M,70000
11114,14,AW00011114,LeslieCMoreno,1967-11-25,F,70000
11115,17,AW00011115,AlvinDCai,1967-08-12,M,70000
11116,18,AW00011116,ClintonECarlson,1979-04-02,M,70000
11117,8,AW00011117,AprilDeng,1966-08-21,F,70000
11118,6,AW00011118,AlvinMZeng,1962-12-31,M,80000
11119,13,AW00011119,EvanVJames,1940-10-07,M,30000
11120,18,AW00011120,BethHJimenez,1942-02-06,F,40000
11121,10,AW00011121,OrlandoSuarez,1966-05-18,M,70000
11122,12,AW00011122,ByronVazquez,1965-09-30,M,70000
11123,39,AW00011123,PhilipAAlvarez,1965-12-18,M,70000
11124,40,AW00011124,RossFJordan,1968-07-23,M,80000
11125,37,AW00011125,DanaJNavarro,1961-10-06,F,70000
11126,11,AW00011126,ShaunCarson,1954-10-05,M,10000
11127,361,AW00011127,JanEdwards,1981-04-19,F,40000
11128,635,AW00011128,SamanthaLong,1981-06-03,F,40000
11129,638,AW00011129,JuliaMWright,1981-02-01,F,40000
11130,543,AW00011130,CarolineLRussell,1985-07-05,F,30000
11131,50,AW00011131,AmandaRivera,1985-09-09,F,30000
11132,51,AW00011132,MelissaERichardson,1986-04-25,F,30000
11133,542,AW00011133,AngelaGriffin,1986-03-08,F,30000
11134,30,AW00011134,LarryDTownsend,1957-02-22,M,10000
11135,302,AW00011135,MarcusLHarris,1985-05-02,M,30000
11136,53,AW00011136,BriannaDMorgan,1984-04-24,F,40000
11137,641,AW00011137,JasmineATaylor,1984-01-17,F,40000
11138,325,AW00011138,LaurenDavis,1984-03-14,F,40000
11139,28,AW00011139,TanyaMoreno,1949-11-05,F,30000
11140,301,AW00011140,JavierLAlvarez,1982-08-11,M,30000
11141,314,AW00011141,NicoleRamirez,1982-12-19,F,40000
11142,51,AW00011142,EduardoPatterson,1983-02-11,M,40000
11143,334,AW00011143,JonathanMHenderson,1982-08-04,M,40000
11144,607,AW00011144,EdwardHernandez,1985-03-08,M,40000
11145,536,AW00011145,JasmineLColeman,1985-06-06,F,40000
11146,8,AW00011146,KarlaLGoel,1945-02-22,F,40000
11147,40,AW00011147,ErnestLWu,1944-08-04,M,60000
11148,22,AW00011148,RossVazquez,1947-02-13,M,40000
11149,25,AW00011149,TheodoreGill,1946-10-18,M,40000
11150,39,AW00011150,RussellMShen,1946-09-12,M,40000
11151,18,AW00011151,MelindaGGill,1947-08-25,F,60000
11152,633,AW00011152,JamesJWilliams,1981-07-09,M,40000
11153,635,AW00011153,AngelaRJames,1981-12-21,F,40000
11154,553,AW00011154,MeganGWalker,1982-02-18,F,40000
11155,301,AW00011155,HunterJRobinson,1981-07-25,M,40000
11156,334,AW00011156,MariaRoberts,1981-08-06,F,40000
11157,642,AW00011157,HannahELong,1980-12-08,F,40000
11158,361,AW00011158,JasonKWright,1981-04-06,M,40000
11159,385,AW00011159,BriannaAHughes,1981-03-16,F,40000
11160,311,AW00011160,MauriceMTang,1979-07-08,M,40000
11161,311,AW00011161,EmilyWood,1979-10-20,F,40000
11162,331,AW00011162,ChaseCox,1979-09-02,M,40000
11163,372,AW00011163,GabrielWang,1980-06-18,M,40000
11164,374,AW00011164,DevinBrooks,1979-11-02,M,40000
11165,348,AW00011165,JocelynAlexander,1979-01-15,F,60000
11166,631,AW00011166,AshleyMartinez,1977-10-22,F,70000
11167,618,AW00011167,JasmineJBarnes,1978-01-29,F,80000
11168,348,AW00011168,DavidRodriguez,1973-11-12,M,80000
11169,312,AW00011169,BryceRichardson,1973-12-20,M,90000
11170,612,AW00011170,CarolTHoward,1973-08-04,F,90000
11171,385,AW00011171,JonathanEHill,1978-10-05,M,100000
11172,626,AW00011172,GabrielleJAdams,1973-05-20,F,100000
11173,552,AW00011173,SarahFThomas,1973-02-28,F,110000
11174,338,AW00011174,NicholasRobinson,1973-01-09,M,110000
11175,300,AW00011175,LuisWang,1968-09-01,M,70000
11176,50,AW00011176,MasonDRoberts,1979-01-21,M,90000
11177,359,AW00011177,JoseMFlores,1948-01-01,M,110000
11178,334,AW00011178,NathanJJohnson,1954-08-20,M,100000
11179,300,AW00011179,MollyERodriguez,1959-12-08,F,120000
11180,307,AW00011180,AprilAnand,1948-07-01,F,160000
11181,338,AW00011181,DevinPMartin,1960-02-01,M,170000
11182,638,AW00011182,StephanieTorres,1950-02-22,F,70000
11183,368,AW00011183,JasmineWLee,1950-01-12,F,70000
11184,311,AW00011184,MeghanHernandez,1955-11-13,F,70000
11185,53,AW00011185,AshleyHenderson,1950-04-07,F,70000
11186,352,AW00011186,SarahCPrice,1949-11-18,F,70000
11187,612,AW00011187,JenniferSCooper,1949-08-21,F,60000
11188,361,AW00011188,CatherineMorris,1950-03-06,F,60000
11189,609,AW00011189,LawrenceWBlanco,1950-01-12,M,60000
11190,300,AW00011190,CarsonBryant,1949-12-20,M,70000
11191,310,AW00011191,KristiEPerez,1951-06-17,F,70000
11192,637,AW00011192,JamesCBrown,1951-03-13,M,60000
11193,553,AW00011193,IanAGray,1950-08-13,M,60000
11194,352,AW00011194,JacquelineRPrice,1950-12-08,F,60000
11195,635,AW00011195,MeganHenderson,1951-08-10,F,60000
11196,536,AW00011196,AlfredoRomero,1951-12-05,M,60000
11197,637,AW00011197,AndreaMorris,1951-12-16,F,70000
11198,368,AW00011198,BrookeSanders,1952-05-25,F,70000
11199,302,AW00011199,JacquelineBennett,1957-11-02,F,70000
11200,69,AW00011200,JasonLGriffin,1953-05-21,M,70000
11201,369,AW00011201,AmandaFoster,1953-02-14,F,70000
11202,334,AW00011202,AlexiaLPrice,1958-08-22,F,80000
11203,60,AW00011203,LuisDDiaz,1959-08-18,M,40000
11204,536,AW00011204,DestinyCRivera,1953-11-29,F,40000
11205,612,AW00011205,AbbyFernandez,1954-01-21,F,40000
11206,626,AW00011206,BlakeFlores,1954-03-24,M,60000
11207,635,AW00011207,DanielleCox,1954-01-16,F,60000
11208,325,AW00011208,MariaReed,1953-08-03,F,60000
11209,336,AW00011209,AllisonEvans,1953-07-12,F,60000
11210,383,AW00011210,EdwardJWood,1953-12-06,M,70000
11211,50,AW00011211,SamanthaRussell,1960-10-08,F,40000
11212,53,AW00011212,ChloeCampbell,1955-05-05,F,40000
11213,614,AW00011213,StephanieBMurphy,1954-11-11,F,60000
11214,545,AW00011214,CharlesOMiller,1955-05-07,M,60000
11215,62,AW00011215,AnaPerry,1961-06-17,F,40000
11216,547,AW00011216,JasmineATorres,1955-11-17,F,60000
11217,547,AW00011217,NataliePAdams,1955-08-11,F,60000
11218,642,AW00011218,OliviaBrown,1961-09-07,F,60000
11219,553,AW00011219,CharlesCook,1956-05-31,M,60000
11220,310,AW00011220,EricaCHuang,1961-02-19,F,60000
11221,334,AW00011221,NathanPerry,1955-12-08,M,70000
11222,369,AW00011222,AlexandraRivera,1956-02-14,F,80000
11223,52,AW00011223,HaileyIPatterson,1957-03-15,F,70000
11224,612,AW00011224,TiffanyJLi,1957-03-05,F,70000
11225,635,AW00011225,MadisonDLee,1962-02-12,F,60000
11226,552,AW00011226,SydneyTRoss,1962-09-23,F,60000
11227,310,AW00011227,MarshallDChavez,1962-08-08,M,60000
11228,316,AW00011228,AshleyRJones,1956-10-16,F,60000
11229,355,AW00011229,AdrianCStewart,1957-06-01,M,70000
11230,369,AW00011230,AmberTurner,1956-09-30,F,70000
11231,611,AW00011231,DennisZhang,1963-11-11,M,60000
11232,616,AW00011232,HaileyRBryant,1958-03-27,F,60000
11233,299,AW00011233,ToddLi,1963-09-06,M,70000
11234,337,AW00011234,AnnaGriffin,1958-05-19,F,70000
11235,607,AW00011235,AngelJStewart,1957-08-07,M,70000
11236,609,AW00011236,JeremyButler,1957-09-02,M,70000
11237,161,AW00011237,ClarenceMAnand,1964-03-22,M,130000
11238,232,AW00011238,MayraPrasad,1964-02-07,F,130000
11239,249,AW00011239,LatoyaCGoel,1969-10-02,F,130000
11240,273,AW00011240,AnneBHernandez,1964-06-09,F,160000
11241,211,AW00011241,LisaCai,1974-04-06,F,100000
11242,209,AW00011242,LarryMunoz,1963-05-11,M,110000
11243,237,AW00011243,RobinVAlvarez,1963-04-08,F,150000
11244,267,AW00011244,AlexisMColeman,1968-11-22,F,170000
11245,132,AW00011245,RickyDVazquez,1962-04-26,M,120000
11246,147,AW00011246,LatashaRubio,1962-04-08,F,120000
11247,242,AW00011247,ClaudiaMZhou,1961-12-04,F,130000
11248,223,AW00011248,TristanPAlexander,1966-03-22,M,110000
11249,178,AW00011249,CindyAPatel,1966-07-09,F,130000
11250,276,AW00011250,ShannonDLiu,1966-03-08,F,170000
11251,50,AW00011251,XavierLong,1938-01-01,M,30000
11252,335,AW00011252,NicholasDThompson,1937-12-05,M,90000
11253,69,AW00011253,JoseMHernandez,1949-08-24,M,60000
11254,612,AW00011254,JohnathanWVance,1938-08-31,M,70000
11255,612,AW00011255,ColinLin,1938-10-02,M,70000
11256,626,AW00011256,KatelynLHernandez,1939-03-20,F,70000
11257,345,AW00011257,JacquelinePowell,1938-07-06,F,120000
11258,352,AW00011258,XavierHill,1938-12-26,M,120000
11259,548,AW00011259,VictoriaCStewart,1970-09-24,F,100000
11260,302,AW00011260,KatelynLKelly,1976-04-08,F,110000
11261,359,AW00011261,StephanieCollins,1970-10-22,F,130000
11262,60,AW00011262,JenniferSimmons,1975-05-01,F,80000
11263,612,AW00011263,TrinityRichardson,1970-03-11,F,90000
11264,618,AW00011264,EduardoMartin,1969-12-15,M,90000
11265,623,AW00011265,ElizabethPJones,1970-01-10,F,90000
11266,632,AW00011266,TaylorHoward,1969-11-02,F,90000
11267,302,AW00011267,DavidDiaz,1975-09-29,M,120000
11268,312,AW00011268,KatelynACarter,1969-10-31,F,130000
11269,314,AW00011269,RyanWFoster,1975-10-10,M,130000
11270,334,AW00011270,RobertLLee,1975-05-01,M,130000
11271,360,AW00011271,DanielleCReed,1969-12-03,F,150000
11272,300,AW00011272,LaurenLMartinez,1962-05-10,F,70000
11273,331,AW00011273,NathanELal,1962-03-31,M,90000
11274,609,AW00011274,KyleMFoster,1939-10-10,M,50000
11275,310,AW00011275,JennyDRai,1939-07-18,F,80000
11276,49,AW00011276,NancyEChapman,1974-09-15,F,80000
11277,62,AW00011277,CharlesPJackson,1968-12-07,M,80000
11278,614,AW00011278,JonathanPhillips,1969-02-16,M,90000
11279,616,AW00011279,AmandaSCook,1974-09-08,F,90000
11280,626,AW00011280,RobertCollins,1969-02-17,M,90000
11281,301,AW00011281,MeganJBarnes,1974-10-06,F,110000
11282,612,AW00011282,ChristianAThomas,1967-07-16,M,90000
11283,299,AW00011283,ArturoLal,1968-04-24,M,110000
11284,307,AW00011284,TheresaSerrano,1967-09-24,F,110000
11285,322,AW00011285,JeremyJAnderson,1973-03-15,M,120000
11286,374,AW00011286,HunterDGriffin,1967-08-31,M,170000
11287,49,AW00011287,HenryBGarcia,1966-07-16,M,70000
11288,301,AW00011288,CindyKSanchez,1978-03-12,F,110000
11289,315,AW00011289,MariaSCarter,1972-03-03,F,130000
11290,334,AW00011290,KatelynSanchez,1972-08-14,F,130000
11291,335,AW00011291,JennaWright,1972-05-01,F,130000
11292,361,AW00011292,SethPhillips,1967-05-05,M,150000
11293,632,AW00011293,LukeSLong,1960-11-23,M,60000
11294,618,AW00011294,DaltonPClark,1961-03-02,M,60000
11295,311,AW00011295,TaylorGLewis,1959-11-13,F,80000
11296,616,AW00011296,HaleyRichardson,1941-04-05,F,50000
11297,301,AW00011297,NoahColeman,1940-08-01,M,70000
11298,307,AW00011298,JonLuo,1940-08-30,M,70000
11299,301,AW00011299,OrlandoEVazquez,1941-09-29,M,70000
11300,54,AW00011300,FernandoBarnes,1965-08-31,M,80000
11301,607,AW00011301,CameronLRodriguez,1965-12-07,M,80000
11302,539,AW00011302,SpencerRussell,1971-12-09,M,90000
11303,614,AW00011303,JuliaColeman,1966-04-10,F,90000
11304,547,AW00011304,JuliaBGarcia,1971-03-14,F,100000
11305,307,AW00011305,SeanAEvans,1965-12-17,M,110000
11306,312,AW00011306,MicahAZhou,1965-12-20,M,110000
11307,314,AW00011307,HunterPRodriguez,1965-10-31,M,80000
11308,546,AW00011308,IanTGonzales,1959-09-02,M,60000
11309,536,AW00011309,VictoriaLewis,1959-12-10,F,60000
11310,360,AW00011310,ErinASanders,1964-07-05,F,70000
11311,626,AW00011311,GabrielleDLopez,1959-02-21,F,70000
11312,626,AW00011312,SaraRichardson,1958-10-01,F,70000
11313,632,AW00011313,TrevorJenkins,1958-08-27,M,70000
11314,618,AW00011314,MyaFlores,1970-06-16,F,70000
11315,632,AW00011315,HaileyJWard,1959-03-31,F,70000
11316,51,AW00011316,LukeAllen,1959-05-17,M,60000
11317,548,AW00011317,VictoriaDRussell,1963-09-14,F,40000
11318,614,AW00011318,JessicaWilson,1958-04-25,F,40000
11319,348,AW00011319,JadeEBailey,1948-04-23,F,70000
11320,325,AW00011320,MorganMHill,1942-12-24,F,80000
11321,612,AW00011321,TerranceDRaman,1944-01-05,M,90000
11322,611,AW00011322,SydneyGarcia,1943-09-12,F,90000
11323,314,AW00011323,JosePatterson,1943-12-18,M,120000
11324,325,AW00011324,ZacharyAnderson,1944-11-10,M,90000
11325,637,AW00011325,ElijahERoss,1944-12-29,M,90000
11326,300,AW00011326,RafaelMXie,1944-12-23,M,130000
11327,301,AW00011327,JaimeCMoreno,1945-09-01,M,90000
11328,55,AW00011328,JulianMGriffin,1945-06-30,M,90000
11329,311,AW00011329,AndyAlvarez,1946-01-22,M,90000
11330,59,AW00011330,RyanMThompson,1945-11-10,M,110000
11331,63,AW00011331,SamanthaJenkins,1974-01-03,F,90000
11332,153,AW00011332,DeannaDRamos,1968-04-02,F,10000
11333,261,AW00011333,EmilyRMiller,1968-01-07,F,20000
11334,269,AW00011334,NicoleBrown,1966-09-19,F,10000
11335,120,AW00011335,CarlaLRaman,1977-12-18,F,10000
11336,204,AW00011336,ShaunRaji,1973-03-08,M,20000
11337,273,AW00011337,JeromeRomero,1967-03-21,M,10000
11338,154,AW00011338,FrankFNavarro,1972-08-06,M,20000
11339,202,AW00011339,DennisMShe,1967-01-05,M,20000
11340,192,AW00011340,MelodyCMunoz,1947-04-03,F,10000
11341,236,AW00011341,RandyAZeng,1942-02-18,M,20000
11342,191,AW00011342,MarshallLWang,1973-03-07,M,30000
11343,264,AW00011343,ArthurPCarlson,1975-03-09,M,10000
11344,262,AW00011344,JessieJimenez,1963-01-21,F,10000
11345,224,AW00011345,RobinRamos,1962-09-09,F,10000
11346,196,AW00011346,DeannaEGutierrez,1966-05-18,F,10000
11347,156,AW00011347,RoyTNavarro,1972-06-17,M,10000
11348,151,AW00011348,ShawnRai,1961-03-21,M,10000
11349,134,AW00011349,MindyJLuo,1965-08-30,F,10000
11350,265,AW00011350,CaraZhou,1942-07-14,F,30000
11351,253,AW00011351,AnneRRamos,1950-04-02,F,20000
11352,222,AW00011352,RaymondARodriguez,1945-09-04,M,10000
11353,271,AW00011353,CarrieLOrtega,1946-12-09,F,30000
11354,119,AW00011354,DeannaSuarez,1947-08-23,F,20000
11355,275,AW00011355,RobertoGutierrez,1948-06-26,M,40000
11356,6,AW00011356,TerrenceCarson,1985-11-24,M,10000
11357,21,AW00011357,RamonYe,1984-09-19,M,10000
11358,2,AW00011358,CynthiaMalhotra,1984-05-10,F,10000
11359,7,AW00011359,JarrodPrasad,1984-03-03,M,10000
11360,26,AW00011360,TyroneSerrano,1984-01-30,M,10000
11361,10,AW00011361,CindyGRamos,1982-10-26,F,10000
11362,33,AW00011362,DamienMShan,1983-05-11,M,10000
11363,35,AW00011363,JulianRoss,1983-04-19,M,10000
11364,34,AW00011364,JenniferCollins,1985-03-22,F,10000
11365,29,AW00011365,BrittneySun,1984-12-06,F,10000
11366,37,AW00011366,VirginiaRPatel,1985-04-23,F,20000
11367,12,AW00011367,CalvinJNara,1984-08-21,M,20000
11368,26,AW00011368,EdwardMiller,1984-05-24,M,10000
11369,29,AW00011369,AshleeDTang,1984-02-01,F,20000
11370,38,AW00011370,AliciaXu,1983-09-29,F,20000
11371,26,AW00011371,LaceyCJai,1983-11-24,F,20000
11372,20,AW00011372,WendyHRomero,1983-11-12,F,20000
11373,135,AW00011373,CarlyHLuo,1954-09-16,F,30000
11374,162,AW00011374,JimmyMOrtega,1948-12-25,M,30000
11375,240,AW00011375,FranciscoMartinez,1948-11-05,M,30000
11376,268,AW00011376,LanceVazquez,1948-12-07,M,40000
11377,161,AW00011377,DavidR.Robinett,1966-08-23,M,30000
11378,184,AW00011378,ShannonLiang,1965-11-19,F,10000
11379,214,AW00011379,GaryVazquez,1976-05-13,M,10000
11380,175,AW00011380,MitchellLKumar,1964-08-29,M,20000
11381,249,AW00011381,MeredithRaman,1970-08-18,F,20000
11382,189,AW00011382,EdwardPatterson,1974-07-15,M,20000
11383,206,AW00011383,MarieGill,1966-02-25,F,30000
11384,211,AW00011384,TiffanyEWang,1971-10-13,F,30000
11385,279,AW00011385,MiguelCAllen,1971-08-08,M,30000
11386,127,AW00011386,JaclynCai,1971-11-02,F,30000
11387,238,AW00011387,MeganCRamirez,1964-11-29,F,40000
11388,279,AW00011388,JosephMartin,1965-01-20,M,40000
11389,130,AW00011389,KarlJShan,1981-04-20,M,10000
11390,208,AW00011390,ChristineJRaji,1976-04-17,F,10000
11391,135,AW00011391,LindsayTXie,1976-06-25,F,10000
11392,131,AW00011392,WillieZhao,1981-02-03,M,10000
11393,182,AW00011393,KurtBPal,1974-07-17,M,10000
11394,259,AW00011394,GeorgeMcDonald,1975-04-22,M,10000
11395,118,AW00011395,BethCGutierrez,1976-04-16,F,30000
11396,175,AW00011396,IanGLopez,1975-04-04,M,10000
11397,197,AW00011397,LatoyaRShan,1974-12-02,F,20000
11398,261,AW00011398,ColinNNath,1975-03-09,M,30000
11399,202,AW00011399,BrendaFMehta,1975-02-01,F,30000
11400,251,AW00011400,FranklinRaji,1980-04-15,M,40000
11401,204,AW00011401,LindaNavarro,1975-02-23,F,40000
11402,183,AW00011402,KelliRCai,1975-05-20,F,40000
11403,179,AW00011403,NancySchmidt,1980-01-06,F,40000
11404,133,AW00011404,MeganETaylor,1957-06-30,F,10000
11405,143,AW00011405,BonnieGoel,1957-08-16,F,10000
11406,199,AW00011406,LatoyaLXu,1957-12-31,F,20000
11407,170,AW00011407,MarioShe,1957-09-30,M,20000
11408,257,AW00011408,DarrenMGill,1964-05-10,M,10000
11409,208,AW00011409,JacquelineHHayes,1979-03-02,F,10000
11410,201,AW00011410,MauriceGoel,1974-02-22,M,20000
11411,121,AW00011411,DevinARoss,1959-08-12,M,80000
11412,121,AW00011412,SydneySBryant,1959-10-07,F,80000
11413,238,AW00011413,MeganLStewart,1959-10-13,F,80000
11414,241,AW00011414,IanRichardson,1959-09-15,M,80000
11415,127,AW00011415,RandyHShe,1949-12-03,M,90000
11416,185,AW00011416,KatrinaBecker,1950-09-16,F,60000
11417,222,AW00011417,LaceyCZheng,1950-08-26,F,70000
11418,160,AW00011418,RafaelJHu,1950-08-09,M,90000
11419,273,AW00011419,KyleDScott,1950-08-18,M,150000
11420,189,AW00011420,JordanCTurner,1952-01-09,M,100000
11421,172,AW00011421,AmyCSun,1952-01-16,F,110000
11422,268,AW00011422,DustinFDeng,1952-02-29,M,170000
11423,147,AW00011423,JasmineStewart,1960-05-04,F,80000
11424,164,AW00011424,PamelaSGarcia,1964-12-03,F,80000
11425,184,AW00011425,ArianaDGray,1965-08-02,F,90000
11426,156,AW00011426,KristopherMehta,1959-04-01,M,110000
11427,168,AW00011427,DesireeSDominguez,1959-06-17,F,110000
11428,173,AW00011428,DeannaPerez,1959-02-19,F,120000
11429,218,AW00011429,MarcoLopez,1958-01-13,M,80000
11430,155,AW00011430,CaseyKYuan,1957-09-21,F,90000
11431,120,AW00011431,BryantGarcia,1974-10-20,M,110000
11432,206,AW00011432,DominiqueLPrasad,1957-03-10,F,80000
11433,224,AW00011433,MauriceMShan,1957-03-01,M,80000
11434,274,AW00011434,AndreLopez,1962-05-02,M,170000
11435,168,AW00011435,RobinRomero,1955-09-03,F,100000
11436,273,AW00011436,TaylorCox,1956-03-17,F,160000
11437,190,AW00011437,AlfredoMoreno,1955-06-16,M,90000
11438,162,AW00011438,JennyNara,1955-04-13,F,130000
11439,217,AW00011439,JanetMunoz,1953-11-14,F,90000
11440,187,AW00011440,SergioCWeber,1953-03-26,M,80000
11441,192,AW00011441,ErikaGomez,1952-12-09,F,90000
11442,224,AW00011442,JosephDHarris,1953-05-13,M,90000
11443,31,AW00011443,GraceGriffin,1981-11-19,F,60000
